,Unnamed: 0,index,Question,lucas_categoria,lucas_justificativa,lucas_resposta,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groundtruth,groundtruth_modelo
0,0,612,Por que temos tão pouco conteúdo em pt-br sobre FPGA/SoC?,2.0,"Precisa de mais contexto para descobrir do que a pergunta se refere, mas ainda e objetiva",Há pouco conteúdo em pt-BR sobre FPGA/SoC porque é um nicho técnico dominado por materiais em inglês e com pouca comunidade local.,0_faculdade_fazer_emprego_trabalho,grau 2,falta de dados especificos,"a quantidade de conteudo depende de varios fatores como interesse do publico, especializacao dos autores e demanda do mercado",grau 3,pergunta opinativa e aberta,Há pouco conteúdo em pt-BR sobre FPGA/SoC porque é um nicho técnico dominado por materiais em inglês e com pouca comunidade local.,"
A escassez de conteúdo em português sobre FPGA/SoC se deve a diversos fatores, incluindo a baixa demanda do mercado brasileiro, o alto custo de desenvolvimento e a concentração de materiais em inglês, idioma predominante na literatura técnica e comunidades de desenvolvedores da área. Além disso, a complexidade inerente aos FPGAs/SoCs exige conhecimento especializado, limitando a produção de conteúdo por um público amplo."
1,1,27,Como posso somar valores únicos de uma coluna em uma base de dados no Data Studio?,1.0,,Use SUM(UNIQUE(coluna)) ou crie uma métrica com SUM_DISTINCT no Data Studio.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta nao relacionada ao tema,Use SUM(UNIQUE(coluna)) ou crie uma métrica com SUM_DISTINCT no Data Studio.,"
Utilize a função `COUNT_DISTINCT` no Data Studio para somar valores únicos de uma coluna."
2,2,303,como criar uma pcb,2.0,O que é pcb? Precisa de mais contexto para ter uma resposta precisa,Use softwares como KiCad ou EasyEDA; desenhe o esquema e gere os arquivos Gerber para fabricação.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao se aplica,grau 3,pergunta nao relacionada ao tema e muito aberta,Use softwares como KiCad ou EasyEDA; desenhe o esquema e gere os arquivos Gerber para fabricação.,"
O processo de criação de uma PCB envolve as seguintes etapas:

1.  **Design do esquema elétrico:** Crie o diagrama esquemático do circuito usando um software de design de PCB.
2.  **Layout da PCB:** Transforme o esquema elétrico em um layout físico, posicionando os componentes e roteando as trilhas.
3.  **Geração de arquivos Gerber:** Exporte os arquivos Gerber, que contêm as informações necessárias para a fabricação da PCB.
4.  **Fabricação:** Envie os arquivos Gerber para uma empresa de fabricação de PCB.
5.  **Montagem:** Solde os componentes na PCB, manualmente ou utilizando equipamentos automatizados.
6.  **Teste:** Verifique se a PCB está funcionando corretamente.

Existem diversos softwares para design de PCB, como Eagle, KiCad, Altium Designer e EasyEDA."
3,3,564,Onde encontro cursos bons e gratuitos? (Sem ser na enap),2.0,Cursos sobre o que? Pode ser mais objetiva,"Plataformas como Coursera, edX, Udemy (gratuitos com cupons) e YouTube têm ótimos cursos.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias plataformas online com cursos gratuitos mas a qualidade pode variar,grau 3,pergunta vaga e opinativa,"Plataformas como Coursera, edX, Udemy (gratuitos com cupons) e YouTube têm ótimos cursos.","
- **Coursera:** Oferece diversos cursos gratuitos de universidades e instituições renomadas, com opção de certificado pago.
- **edX:** Similar ao Coursera, com foco em cursos de universidades de ponta.
- **FGV Online:** Cursos gratuitos em diversas áreas, com certificado opcional pago.
- **Veduca:** Plataforma com cursos de universidades brasileiras e internacionais, muitos gratuitos.
- **Prime Cursos:** Variedade de cursos online gratuitos com certificado pago.
- **Udemy:** Possui uma seção de cursos gratuitos, embora a maioria seja paga.
- **LinkedIn Learning:** Oferece um mês de acesso gratuito com diversos cursos.
- **Cursos Senai:** Cursos online gratuitos em diversas áreas industriais.
- **Google Skillshop:** Cursos gratuitos sobre ferramentas do Google.
- **Microsoft Learn:** Cursos gratuitos sobre tecnologias Microsoft.
- **YouTube:** Canais educativos oferecem conteúdo gratuito em diversas áreas."
4,4,76,Preciso de um texto tipo capítulo de livro sobre como escrever um resumo de tcc,1.0,,"Escreva de forma clara, resumindo objetivos, metodologia, resultados e conclusões; cite autores relevantes.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder de forma objetiva a essa pergunta,grau 3,pergunta pede um texto extenso e nao uma resposta objetiva,"Escreva de forma clara, resumindo objetivos, metodologia, resultados e conclusões; cite autores relevantes.","

## Escrevendo o Resumo do TCC: A Síntese da Sua Pesquisa

O resumo do Trabalho de Conclusão de Curso (TCC) é uma versão concisa e completa do seu trabalho, crucial para indexação em bases de dados e para que outros pesquisadores compreendam a essência da sua pesquisa. Ele deve ser autossuficiente, ou seja, compreensível sem a necessidade de ler o TCC completo.

**Estrutura e Conteúdo:**

Um bom resumo geralmente segue a seguinte estrutura:

1.  **Contextualização:** Apresente brevemente o tema geral da pesquisa e sua relevância.
2.  **Objetivo:** Declare claramente o objetivo principal do seu TCC.
3.  **Metodologia:** Descreva os métodos utilizados para alcançar o objetivo (tipo de pesquisa, coleta e análise de dados).
4.  **Resultados:** Apresente os principais resultados obtidos de forma objetiva e concisa.
5.  **Conclusão:** Indique as principais conclusões e implicações da sua pesquisa.

**Dicas Importantes:**

*   **Palavras-chave:** Inclua de 3 a 5 palavras-chave que representem os temas centrais do seu trabalho.
*   **Extensão:** Geralmente, o resumo deve ter entre 150 e 500 palavras, dependendo das normas da sua instituição.
*   **Linguagem:** Utilize linguagem clara, objetiva e formal, evitando jargões excessivos.
*   **Tempo Verbal:** Predomine o passado para descrever o que foi feito e o presente para apresentar conclusões gerais.
*   **Revisão:** Revise cuidadosamente a gramática, ortografia e a clareza do texto.

**O que evitar:**

*   Citações bibliográficas.
*   Informações que não constem no TCC.
*   Apresentação de novos resultados ou conclusões.
*   Repetição excessiva de informações.

Um resumo bem elaborado é a porta de entrada para o seu TCC, despertando o interesse de leitores e garantindo que sua pesquisa seja devidamente reconhecida."
5,5,361,Como começar minha carreira de programação?,2.0,"Pode existir uma resposta objetiva, mas precisa de mais contexto. Que linguagem? etc","Comece com lógica de programação e Python, depois pratique com projetos simples.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"estude linguagens de programacao, faça projetos praticos e busque oportunidades de estagio ou trabalho",grau 2,depende de contexto pessoal,"Comece com lógica de programação e Python, depois pratique com projetos simples.","
1.  **Escolha uma linguagem:** Python, JavaScript e Java são boas opções para iniciantes.
2.  **Aprenda o básico:** Utilize plataformas online como Codecademy, Coursera, Udemy ou freeCodeCamp.
3.  **Pratique:** Desenvolva pequenos projetos para aplicar o conhecimento adquirido.
4.  **Crie um portfólio:** Hospede seus projetos no GitHub para demonstrar suas habilidades.
5.  **Networking:** Participe de comunidades online e eventos da área.
6.  **Busque oportunidades:** Comece com estágios, trabalhos freelance ou posições de nível júnior."
6,6,565,"como lidar com as loucuras de arquivos pdf, engenharia de dados/extração de dados/integração",3.0,Pergunta aberta e sem objetividade,"Use ferramentas de ETL (Airbyte, Talend, Python com Pandas) e controle versões dos scripts.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao ha uma resposta objetiva para lidar com todas as situacoes de arquivos pdf em engenharia de dados,grau 3,pergunta vaga e opinativa,"Use ferramentas de ETL (Airbyte, Talend, Python com Pandas) e controle versões dos scripts.","Devido à natureza não estruturada dos PDFs, a extração de dados pode ser complexa. Utilize bibliotecas como PyPDF2, pdfminer.six ou Tesseract OCR (para PDFs digitalizados). Para engenharia de dados, considere converter PDFs para formatos estruturados (CSV, JSON) e implementar pipelines de ETL (Extração, Transformação e Carga) para integrar os dados a um sistema centralizado. Valide e limpe os dados extraídos, pois erros são comuns."
7,7,522,"Tenho um conjunto de 4 pontos (coordenadas x e y), que formula do excel poderia usar para encontrar o 3º ponto desse conjunto, dado que tenho a inclinação da reta que interpola esses 4 pontos, os 2 primeiros e o último é igual ao terceiro?",1.0,Pergunta tecnica e objetiva,Use a equação da reta: y - y1 = m(x - x1) e isole o ponto desconhecido com base na inclinação.,0_faculdade_fazer_emprego_trabalho,grau 1,formula especifica,nao e possivel responder dentro do contexto especificado,grau 3,pergunta nao relacionada ao tema e muito especifica,Use a equação da reta: y - y1 = m(x - x1) e isole o ponto desconhecido com base na inclinação.,"

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde `m = (y4 - y1) / (x4 - x1)` e `x3 = x2 + (x4 - x2) / 2`.

No Excel, você pode usar a seguinte fórmula:

`=Y2 + ((Y4-Y1)/(X4-X1))*(X2+((X4-X2)/2)-X2)`
"
8,8,379,Growth marketing Hacker para jóias e moda feminina dados para os próximos anos,1.0,Objetiva,"Foque em marketing digital, TikTok, Instagram e personalização de conteúdo.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sem mais contexto,grau 3,pergunta vaga e opinativa,"Foque em marketing digital, TikTok, Instagram e personalização de conteúdo.","
As principais tendências de growth hacking para joias e moda feminina nos próximos anos incluem:

*   **Personalização:** Uso de dados para oferecer recomendações e experiências customizadas.
*   **Conteúdo gerado pelo usuário (UGC):** Incentivar clientes a criarem conteúdo com os produtos para aumentar a prova social.
*   **Marketing de influência:** Colaborações com micro e nano influenciadores.
*   **Realidade Aumentada (RA):** Permitir que clientes experimentem virtualmente joias e roupas.
*   **Live Shopping:** Vendas ao vivo em plataformas de mídia social.
*   **SEO para pesquisa visual:** Otimização de imagens para mecanismos de busca visuais como Pinterest e Google Lens.
*   **Programas de fidelidade gamificados:** Recompensas e desafios para aumentar o engajamento e retenção.
*   **Foco em sustentabilidade e valores:** Destacar práticas éticas e sustentáveis para atrair consumidores conscientes.
*   **Inteligência Artificial (IA):** Utilização de chatbots e ferramentas de IA para atendimento ao cliente e análise de dados.
*   **Comércio Social:** Integração direta de vendas em plataformas de mídia social."
9,9,80,Como lidar com o aumento constante do escopo do projeto?,3.0,Muito aberta,Use gestão ágil e priorização; renegocie prazos para conter o escopo.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao se aplica,grau 3,pergunta nao relacionada ao tema e subjetiva,Use gestão ágil e priorização; renegocie prazos para conter o escopo.,"

Implemente um processo formal de gerenciamento de mudanças, que inclua avaliação de impacto, aprovação e documentação de cada alteração no escopo. Priorize requisitos, negocie prazos e recursos, e comunique claramente as consequências de cada mudança para as partes interessadas."
10,10,737,Como escolher e aguentar a faculdade visando apenas mercado de trabalho e concurso?,3.0,Muito aberta,Escolha o curso que dê base sólida e garanta estabilidade ou empregabilidade conforme seu objetivo.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende dos interesses e objetivos pessoais,grau 3,pergunta opinativa e aberta,Escolha o curso que dê base sólida e garanta estabilidade ou empregabilidade conforme seu objetivo.,"
Priorize cursos com alta empregabilidade e reconhecimento no mercado, como Engenharia, Direito, Medicina, Ciência da Computação e áreas financeiras. Durante a graduação, busque estágios direcionados aos seus objetivos, participe de atividades extracurriculares relevantes e construa um bom networking. Para ""aguentar"", defina metas claras, organize seu tempo, cuide da saúde física e mental e mantenha o foco nos seus objetivos de longo prazo."
11,11,274,Como começar a estudar sistemas embarcados,1.0,,"Comece estudando microcontroladores, eletrônica digital e programação em C.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias formas de comecar dependendo dos interesses e recursos disponiveis,grau 3,pergunta aberta e opinativa,"Comece estudando microcontroladores, eletrônica digital e programação em C.","

Comece com eletrônica básica, programação em C/C++ e arquitetura de microcontroladores. Explore plataformas como Arduino e Raspberry Pi para projetos práticos. Estude sistemas operacionais de tempo real (RTOS) e protocolos de comunicação como UART, SPI e I2C."
12,12,636,Estou estudando matemática para o Enem. Me faça uma lista dos principais assuntos que devo estudar em ordem de prioridade,1.0,,"Priorize: aritmética, álgebra, funções, geometria, estatística e probabilidade.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a prioridade depende dos seus pontos fortes e fracos,grau 3,pergunta opinativa e aberta,"Priorize: aritmética, álgebra, funções, geometria, estatística e probabilidade.","
1. Funções (1º grau, 2º grau, exponencial, logarítmica, trigonométrica)
2. Geometria Plana e Espacial
3. Análise Combinatória e Probabilidade
4. Matrizes, Determinantes e Sistemas Lineares
5. Números Complexos e Polinômios
6. Estatística (medidas de tendência central e dispersão)
7. Progressões (Aritmética e Geométrica)
8. Trigonometria (círculo trigonométrico, lei dos senos e cossenos)
9. Porcentagem, Juros e Descontos
10. Grandezas e Medidas."
13,13,798,"se tivermos que resumir um único valor para uma distribuição de MonteCarlo, qual seria o melhor? A média ou o ""mais provável""?",1.0,,Depende do contexto: use a média para centralidade e o valor mais provável se quiser o pico da distribuição.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,,,,Depende do contexto: use a média para centralidade e o valor mais provável se quiser o pico da distribuição.,"
A média é geralmente a melhor opção para resumir uma distribuição de Monte Carlo, pois representa o valor esperado central da distribuição e incorpora todas as amostras geradas. O valor ""mais provável"" (moda) pode ser enganoso se a distribuição for assimétrica ou multimodal."
14,14,167,COMO UTILIZAR A FUNÇÃO SUBSTITUIR EM EXCEL,1.0,,Use SUBSTITUIR(texto; texto_antigo; texto_novo) no Excel.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta tecnica,nao aplicavel,grau 3,pergunta nao relacionada ao tema e nao causal,Use SUBSTITUIR(texto; texto_antigo; texto_novo) no Excel.,"
A função `SUBSTITUIR` no Excel permite substituir um texto específico por outro dentro de uma célula ou string de texto. Sua sintaxe é: `=SUBSTITUIR(texto, texto_antigo, texto_novo, [ocorrencia])`.

*   **texto:** O texto onde a substituição será feita.
*   **texto_antigo:** O texto que você deseja substituir.
*   **texto_novo:** O texto que substituirá o texto antigo.
*   **[ocorrencia]:** (Opcional) Especifica qual ocorrência do texto antigo deve ser substituída. Se omitido, todas as ocorrências são substituídas.

Exemplo: `=SUBSTITUIR(""banana"", ""ana"", ""ela"")` retorna ""belana"".  `=SUBSTITUIR(""banana"", ""ana"", ""ela"", 1)` também retorna ""belana"", pois substitui apenas a primeira ocorrência.
"
15,15,0,"Eu trabalho em uma empresa chamada nerraW. Preciso fazer um review no glassdoor e gostaria de ajuda na elaboração do mesmo. Nesta empresa a cultura é boa, tecnologia muito ruim e sinto o discurso da liderança diferente do que é praticado no dia a dia. ",2.0,"Pergunta em si não tem contexto, mas foi adicionado um pouco podendo adicionar mais","Destaque cultura positiva, mas cite que a tecnologia é fraca e há desconexão entre discurso e prática.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente pois a pergunta nao se enquadra no tema especificado e e opinativa,grau 3,"pergunta opinativa e nao relacionada a causalidade entre faculdade, emprego e trabalho","Destaque cultura positiva, mas cite que a tecnologia é fraca e há desconexão entre discurso e prática.","
Aqui estão algumas sugestões para seu review no Glassdoor:

**Pontos Positivos:**

*   ""A cultura da empresa é um ponto forte, com um ambiente de trabalho colaborativo e bom relacionamento entre colegas.""
*   ""As pessoas são acolhedoras e há um bom clima organizacional.""

**Pontos Negativos:**

*   ""A infraestrutura tecnológica é defasada e impacta a produtividade e a qualidade do trabalho.""
*   ""Existe uma desconexão entre o discurso da liderança e as práticas diárias, gerando frustração e desmotivação.""
*   ""A falta de investimento em tecnologia limita o desenvolvimento de novas soluções e a inovação.""

**Sugestão de frase final:**

*   ""A nerraW tem potencial para ser uma ótima empresa, mas precisa modernizar sua tecnologia e alinhar as ações da liderança com os valores propagados.""

**Dica:** Seja específico e forneça exemplos (sem expor informações confidenciais) para dar mais credibilidade ao seu review."
16,16,583,"Redação sobre Trabalhos de casa. Para que servem, e quais são as vantagens e desvantagens ",2.0,Precisa de contexto,Servem para aprendizado autônomo; vantagens: flexibilidade. Desvantagens: distrações e falta de socialização.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,a resposta depende de diversos fatores pessoais e contextuais,grau 3,pergunta opinativa e aberta,Servem para aprendizado autônomo; vantagens: flexibilidade. Desvantagens: distrações e falta de socialização.,"

Os trabalhos de casa servem para reforçar o aprendizado, desenvolver autonomia e responsabilidade, além de preparar para desafios futuros.

**Vantagens:** fixação do conteúdo, desenvolvimento de hábitos de estudo, organização do tempo, aprofundamento individual e envolvimento familiar.

**Desvantagens:** podem gerar estresse, sobrecarga, desigualdade (falta de recursos ou apoio em casa) e, se excessivos, diminuir o tempo para outras atividades importantes."
17,17,204,2 / 2Como monitorar uma plantação de longo alcance?,2.0,Precisa de contexto,"Use drones, sensores IoT e imagens de satélite com análise via software agrícola.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,nao e possivel responder objetivamente sobre monitoramento de plantacao neste contexto,grau 3,pergunta nao relacionada ao tema e aberta,"Use drones, sensores IoT e imagens de satélite com análise via software agrícola.","
Utilize drones com câmeras multiespectrais, imagens de satélite, sensores no solo (umidade, temperatura, nutrientes) e plataformas de monitoramento agrícola baseadas em nuvem para análise de dados e alertas."
18,18,621,como validar com sql se os dados da tabela A estão em B,1.0,,SELECT * FROM A WHERE coluna NOT IN (SELECT coluna FROM B) para validar.,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,nao se aplica,grau 3,pergunta nao relacionada ao tema,SELECT * FROM A WHERE coluna NOT IN (SELECT coluna FROM B) para validar.,"
```sql
SELECT COUNT(*) 
FROM A
WHERE NOT EXISTS (SELECT 1 FROM B WHERE A.id = B.id);
```
"
19,19,409,"2 / 2Como posso construir confiança e credibilidade com potenciais clientes nas redes sociais, antes de fazer uma oferta de alto valor?",2.0,muito aberta podendo ter muitas maneiras de responder sem objetividade,"Gere valor com conteúdo gratuito, prova social e interações genuínas antes de vender.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"existem varias estrategias como compartilhar conteudo de valor, engajar com a comunidade e demonstrar experiencia",grau 3,pergunta opinativa e aberta,"Gere valor com conteúdo gratuito, prova social e interações genuínas antes de vender.","artigo:

1.  **Compartilhe conteúdo de valor:** Publique regularmente informações relevantes, úteis e que resolvam os problemas do seu público-alvo.
2.  **Seja transparente e autêntico:** Mostre os bastidores do seu negócio, compartilhe seus valores e seja honesto em suas comunicações.
3.  **Engaje com a audiência:** Responda a comentários e mensagens, participe de discussões e mostre que você se importa com seus seguidores.
4.  **Construa prova social:** Compartilhe depoimentos de clientes satisfeitos, estudos de caso e resultados que você já alcançou.
5.  **Demonstre expertise:** Posicione-se como um especialista em seu nicho, oferecendo insights e soluções inovadoras.
6.  **Ofereça conteúdo gratuito de qualidade:** Crie e-books, webinars, guias ou outros materiais gratuitos que demonstrem seu conhecimento e ajudem seu público.
7.  **Seja consistente:** Mantenha uma frequência regular de postagens e interações para manter sua audiência engajada e construir um relacionamento de longo prazo."
20,20,766,Como fazer pra orientar/co-orientar monografias?,1.0,,"Auxilie alunos, revise textos e ajude na metodologia com feedback constante.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende das habilidades do orientador e das necessidades do aluno,grau 3,pergunta opinativa e aberta,"Auxilie alunos, revise textos e ajude na metodologia com feedback constante.","apenas orientar/co-orientar monografias?

1.  **Disponibilidade:** Avalie sua agenda e capacidade para dedicar tempo adequado ao aluno.
2.  **Alinhamento:** Verifique se o tema proposto se encaixa em sua área de expertise.
3.  **Reuniões:** Estabeleça frequência e formato das reuniões de acompanhamento.
4.  **Feedback:** Ofereça críticas construtivas e direcionamentos claros em cada etapa.
5.  **Normas:** Garanta que o trabalho siga as normas da instituição.
6.  **Incentivo:** Motive o aluno a desenvolver o projeto com autonomia e responsabilidade.
7.  **Co-orientação:** Divida tarefas e responsabilidades com o co-orientador, mantendo a comunicação alinhada."
21,21,681,Como cobrar pela análise estatística?,2.0,Precisa de contexto,Baseie o preço no tempo gasto e complexidade; cobre por hora ou projeto.,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,depende do contexto e dos valores de mercado,grau 3,pergunta vaga e opinativa,Baseie o preço no tempo gasto e complexidade; cobre por hora ou projeto.,"$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço."
22,22,87,Quando é a hora de pedir aumento?,2.0,Precisa de contexto,Quando seu desempenho estiver acima da média e o mercado valorizar seu cargo.,0_faculdade_fazer_emprego_trabalho,grau 2,depende de contexto,"depende de fatores como desempenho, mercado e relacao com o empregador",grau 3,pergunta depende de contexto pessoal e situacional,Quando seu desempenho estiver acima da média e o mercado valorizar seu cargo.,"
Quando você demonstra resultados consistentes acima das expectativas, assume novas responsabilidades e entrega valor para a empresa. Pesquise a média salarial do mercado para sua função e experiência, e prepare argumentos sólidos baseados em suas conquistas."
23,23,247,Dev só arranja emprego se tiver contatos?,1.0,,"Contatos ajudam, mas projetos no GitHub e portfólio também atraem vagas.",0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,"nao necessariamente, mas contatos podem ajudar",grau 2,depende de contexto e variaveis,"Contatos ajudam, mas projetos no GitHub e portfólio também atraem vagas.","

Não necessariamente. Embora contatos possam ajudar, a competência técnica, um bom portfólio e habilidades de comunicação são cruciais para conseguir emprego como desenvolvedor. Muitas empresas contratam por mérito, independentemente de conexões pré-existentes."
24,24,555,Como conseguir clientes para meus trabalhos?,2.0,Precisa de contexto,"Use redes sociais, indicação e mostre resultados anteriores.",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,existem varias estrategias como marketing digital e networking,grau 3,pergunta opinativa e aberta,"Use redes sociais, indicação e mostre resultados anteriores.","
Divulgue seus serviços online (redes sociais, portfólio digital, plataformas freelancer), faça networking, peça indicações a clientes satisfeitos, ofereça um bom atendimento e considere parcerias com outros profissionais."
