,PERGUNTA,Nome_Tópico,groundtruth,groundtruth_modelo,annot_causal,annot_action_class,annot_pearl_class,ROUGE-L,BERTScore-F1,CosineSim,Corretude_score
0,Por que temos tão pouco conteúdo em pt-br sobre FPGA/SoC?,0_faculdade_fazer_emprego_trabalho,Há pouco conteúdo em pt-BR sobre FPGA/SoC porque é um nicho técnico dominado por materiais em inglês e com pouca comunidade local.,"
A escassez de conteúdo em português sobre FPGA/SoC se deve a diversos fatores, incluindo a baixa demanda do mercado brasileiro, o alto custo de desenvolvimento e a concentração de materiais em inglês, idioma predominante na literatura técnica e comunidades de desenvolvedores. Além disso, a complexidade inerente a essas tecnologias exige profissionais especializados, limitando a produção de conteúdo acessível para iniciantes em português.",True,Busca-Causa,Associacional,0.17391303924385643,0.5896098613739014,0.5013504028320312,0.7584223514516748
1,Como posso somar valores únicos de uma coluna em uma base de dados no Data Studio?,0_faculdade_fazer_emprego_trabalho,Use SUM(UNIQUE(coluna)) ou crie uma métrica com SUM_DISTINCT no Data Studio.,"
Utilize a função `COUNT_DISTINCT` no Data Studio para somar valores únicos de uma coluna.",True,Busca-Passos,Associacional,0.23999999507200007,0.6652134656906128,0.6754464507102966,0.4072810075041037
2,como criar uma pcb,0_faculdade_fazer_emprego_trabalho,Use softwares como KiCad ou EasyEDA; desenhe o esquema e gere os arquivos Gerber para fabricação.,"
Utilize a função `COUNT_DISTINCT` no Data Studio para somar valores únicos de uma coluna.",True,Busca-Passos,Associacional,0.06666666168888927,0.47417542338371277,0.23648014664649963,0.0037326891360021383
3,Onde encontro cursos bons e gratuitos? (Sem ser na enap),0_faculdade_fazer_emprego_trabalho,"Plataformas como Coursera, edX, Udemy (gratuitos com cupons) e YouTube têm ótimos cursos.","
- **Coursera:** Oferece diversos cursos gratuitos de universidades e instituições renomadas, com opção de certificado pago.
- **edX:** Similar ao Coursera, com foco em cursos de universidades de ponta.
- **FGV Online:** Cursos gratuitos em diversas áreas, com certificado opcional pago.
- **Veduca:** Plataforma com cursos de universidades brasileiras e internacionais, muitos gratuitos.
- **Prime Cursos:** Grande variedade de cursos online gratuitos com certificado pago.
- **Udemy:** Possui uma seção de cursos gratuitos, embora a maioria seja paga.
- **LinkedIn Learning:** Oferece um mês de acesso gratuito com diversos cursos.
- **Cursos Senac EAD:** Alguns cursos gratuitos e outros pagos, com foco em áreas técnicas e profissionalizantes.
- **Google Skillshop:** Cursos gratuitos sobre ferramentas do Google, como Google Ads e Google Analytics.
- **YouTube:** Canais especializados oferecem tutoriais e cursos completos gratuitamente.",True,Busca-Recomendação,Associacional,0.10752687931552786,0.5799820423126221,0.6533600687980652,0.8308779422676518
4,Preciso de um texto tipo capítulo de livro sobre como escrever um resumo de tcc,0_faculdade_fazer_emprego_trabalho,"Escreva de forma clara, resumindo objetivos, metodologia, resultados e conclusões; cite autores relevantes.","
- **Coursera:** Oferece diversos cursos gratuitos de universidades e instituições renomadas, com opção de certificado pago.
- **edX:** Similar ao Coursera, com foco em cursos de universidades de ponta.
- **FGV Online:** Cursos gratuitos em diversas áreas, com certificado opcional pago.
- **Veduca:** Plataforma com cursos de universidades brasileiras e internacionais, muitos gratuitos.
- **Prime Cursos:** Grande variedade de cursos online gratuitos com certificado pago.
- **Udemy:** Possui uma seção de cursos gratuitos, embora a maioria seja paga.
- **LinkedIn Learning:** Oferece um mês de acesso gratuito com diversos cursos.
- **Cursos Senac EAD:** Alguns cursos gratuitos e outros pagos, com foco em áreas técnicas e profissionalizantes.
- **Google Skillshop:** Cursos gratuitos sobre ferramentas do Google, como Google Ads e Google Analytics.
- **YouTube:** Canais especializados oferecem tutoriais e cursos completos gratuitamente.",True,Busca-Passos,Associacional,0.04301075028326988,0.38459572196006775,0.17437338829040527,0.037574439472019584
5,Como começar minha carreira de programação?,0_faculdade_fazer_emprego_trabalho,"Comece com lógica de programação e Python, depois pratique com projetos simples.","
1.  **Escolha uma linguagem:** Python, JavaScript e Java são boas opções para iniciantes.
2.  **Aprenda o básico:** Utilize plataformas online como Codecademy, Coursera, Udemy ou freeCodeCamp.
3.  **Pratique:** Desenvolva pequenos projetos para aplicar o conhecimento adquirido.
4.  **Crie um portfólio:** Hospede seus projetos no GitHub para demonstrar suas habilidades.
5.  **Networking:** Participe de comunidades online e eventos da área.
6.  **Busque oportunidades:** Comece com estágios, trabalhos freelance ou posições de nível júnior.",True,Busca-Passos,Associacional,0.15999999749688892,0.5067175626754761,0.501444935798645,0.570850786321969
6,"como lidar com as loucuras de arquivos pdf, engenharia de dados/extração de dados/integração",0_faculdade_fazer_emprego_trabalho,"Use ferramentas de ETL (Airbyte, Talend, Python com Pandas) e controle versões dos scripts.","Devido à natureza não estruturada dos PDFs, a extração de dados pode ser complexa. Utilize bibliotecas como PyPDF2, pdfminer.six ou Tesseract OCR (para PDFs digitalizados). Para engenharia de dados, considere converter PDFs para formatos estruturados (CSV, JSON) e implementar pipelines de ETL para integração com outros sistemas. Valide e limpe os dados extraídos, pois erros são comuns.",True,Busca-Passos,Associacional,0.15151514817263553,0.5674493908882141,0.3289812505245209,0.46291550093922795
7,"Tenho um conjunto de 4 pontos (coordenadas x e y), que formula do excel poderia usar para encontrar o 3º ponto desse conjunto, dado que tenho a inclinação da reta que interpola esses 4 pontos, os 2 primeiros e o último é igual ao terceiro?",0_faculdade_fazer_emprego_trabalho,Use a equação da reta: y - y1 = m(x - x1) e isole o ponto desconhecido com base na inclinação.,"

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Recomendação,Intervencional,0.07317072801903647,0.6430421471595764,0.6678348183631897,0.4435700237182013
8,Growth marketing Hacker para jóias e moda feminina dados para os próximos anos,0_faculdade_fazer_emprego_trabalho,"Foque em marketing digital, TikTok, Instagram e personalização de conteúdo.","

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Efeito,Associacional,0.027777775385802676,0.320404052734375,0.041285037994384766,0.0
9,Como lidar com o aumento constante do escopo do projeto?,0_faculdade_fazer_emprego_trabalho,Use gestão ágil e priorização; renegocie prazos para conter o escopo.,"

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Passos,Intervencional,0.05479451798836567,0.30049946904182434,0.126397043466568,0.0
10,Como escolher e aguentar a faculdade visando apenas mercado de trabalho e concurso?,0_faculdade_fazer_emprego_trabalho,Escolha o curso que dê base sólida e garanta estabilidade ou empregabilidade conforme seu objetivo.,"

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Recomendação,Associacional,0.05194804881092952,0.3061387240886688,0.20801302790641785,0.0
11,Como começar a estudar sistemas embarcados,0_faculdade_fazer_emprego_trabalho,"Comece estudando microcontroladores, eletrônica digital e programação em C.","

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Passos,Associacional,0.02816901187066076,0.3328844904899597,0.06467019021511078,0.0
12,Estou estudando matemática para o Enem. Me faça uma lista dos principais assuntos que devo estudar em ordem de prioridade,0_faculdade_fazer_emprego_trabalho,"Priorize: aritmética, álgebra, funções, geometria, estatística e probabilidade.","

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Recomendação,Associacional,0.02857142654693892,0.4177429974079132,0.45555365085601807,0.0
13,"se tivermos que resumir um único valor para uma distribuição de MonteCarlo, qual seria o melhor? A média ou o ""mais provável""?",0_faculdade_fazer_emprego_trabalho,Depende do contexto: use a média para centralidade e o valor mais provável se quiser o pico da distribuição.,"

Considerando que os pontos são (x1, y1), (x2, y2), (x3, y3) e (x4, y4), a inclinação (m) é constante entre os pontos, e você conhece x1, x2, x4, y1, y2, y4, a fórmula para calcular y3 seria:

`y3 = y2 + m * (x3 - x2)`

Onde x3 pode ser calculado como:

`x3 = (x2 + x4) / 2`

Portanto, no Excel, você pode usar a seguinte fórmula combinada:

`=y2 + m * ((x2+x4)/2 - x2)`
",True,Busca-Recomendação,Associacional,0.04999999651250024,0.3925707936286926,0.27120253443717957,0.10796024019699979
14,COMO UTILIZAR A FUNÇÃO SUBSTITUIR EM EXCEL,0_faculdade_fazer_emprego_trabalho,Use SUBSTITUIR(texto; texto_antigo; texto_novo) no Excel.,"
A função `SUBSTITUIR` no Excel permite substituir um texto específico por outro dentro de uma célula ou string de texto. Sua sintaxe é: `=SUBSTITUIR(texto, texto_antigo, texto_novo, [ocorrencia])`.

*   **texto:** O texto onde a substituição será feita.
*   **texto\_antigo:** O texto que você deseja substituir.
*   **texto\_novo:** O texto que substituirá o texto antigo.
*   **[ocorrencia]:** (Opcional) Especifica qual ocorrência do texto antigo deve ser substituída. Se omitido, todas as ocorrências são substituídas.

Exemplo: `=SUBSTITUIR(""banana"", ""ana"", ""ela"")` retorna ""belana"".  `=SUBSTITUIR(""banana"", ""ana"", ""ela"", 1)` também retorna ""belana"", pois substitui apenas a primeira ocorrência.
",True,Busca-Passos,Associacional,0.05128204986193298,0.5851622223854065,0.7235901355743408,0.5294889809049025
15,"Eu trabalho em uma empresa chamada nerraW. Preciso fazer um review no glassdoor e gostaria de ajuda na elaboração do mesmo. Nesta empresa a cultura é boa, tecnologia muito ruim e sinto o discurso da liderança diferente do que é praticado no dia a dia. ",0_faculdade_fazer_emprego_trabalho,"Destaque cultura positiva, mas cite que a tecnologia é fraca e há desconexão entre discurso e prática.","

**Pontos positivos:**

*   Cultura organizacional agradável e colaborativa.
*   Boas relações interpessoais com colegas de trabalho.

**Pontos negativos:**

*   Infraestrutura tecnológica defasada e impactante na produtividade.
*   Divergência entre o discurso da liderança e as práticas diárias, gerando desalinhamento e frustração.
*   Falta de investimento em ferramentas e tecnologias modernas.

**Sugestão:**

Recomendo que a empresa invista em modernização tecnológica e alinhe as práticas de gestão com os valores e o discurso da liderança para melhorar o ambiente de trabalho e a experiência dos colaboradores.",True,Busca-Passos,Associacional,0.1369862979470821,0.4935026466846466,0.6741173267364502,0.8321414121684176
16,"Redação sobre Trabalhos de casa. Para que servem, e quais são as vantagens e desvantagens ",0_faculdade_fazer_emprego_trabalho,Servem para aprendizado autônomo; vantagens: flexibilidade. Desvantagens: distrações e falta de socialização.,"

Os trabalhos de casa servem para reforçar o aprendizado, desenvolver autonomia e responsabilidade, além de preparar para desafios futuros.

**Vantagens:** consolidação do conteúdo, desenvolvimento de hábitos de estudo, organização do tempo, maior contato com a família no processo de aprendizagem.

**Desvantagens:** podem gerar estresse e sobrecarga, desigualdade de acesso a recursos (internet, espaço adequado), diminuição do tempo para atividades de lazer e convívio social.",True,Busca-Causa,Associacional,0.09523809215419511,0.5579578876495361,0.6363589763641357,0.3831956118455915
17,2 / 2Como monitorar uma plantação de longo alcance?,0_faculdade_fazer_emprego_trabalho,"Use drones, sensores IoT e imagens de satélite com análise via software agrícola.","
Utilize drones com câmeras multiespectrais, imagens de satélite, sensores no solo (umidade, temperatura, nutrientes) e plataformas de monitoramento agrícola baseadas em nuvem para análise de dados e alertas.",True,Busca-Passos,Associacional,0.21052631128808874,0.706326425075531,0.8552678823471069,0.8086081188156082
18,como validar com sql se os dados da tabela A estão em B,0_faculdade_fazer_emprego_trabalho,SELECT * FROM A WHERE coluna NOT IN (SELECT coluna FROM B) para validar.,"
```sql
SELECT COUNT(*) 
FROM A
WHERE NOT EXISTS (SELECT 1 FROM B WHERE A.id = B.id);
```
",True,Busca-Passos,Associacional,0.4444444395061729,0.7172840237617493,0.7176879644393921,0.4932893532708845
19,"2 / 2Como posso construir confiança e credibilidade com potenciais clientes nas redes sociais, antes de fazer uma oferta de alto valor?",0_faculdade_fazer_emprego_trabalho,"Gere valor com conteúdo gratuito, prova social e interações genuínas antes de vender.","
```sql
SELECT COUNT(*) 
FROM A
WHERE NOT EXISTS (SELECT 1 FROM B WHERE A.id = B.id);
```
",True,Busca-Passos,Intervencional,0.0,0.2606256306171417,0.04793519154191017,0.0
20,Como fazer pra orientar/co-orientar monografias?,0_faculdade_fazer_emprego_trabalho,"Auxilie alunos, revise textos e ajude na metodologia com feedback constante.","
```sql
SELECT COUNT(*) 
FROM A
WHERE NOT EXISTS (SELECT 1 FROM B WHERE A.id = B.id);
```
",True,Busca-Passos,Associacional,0.0,0.27421700954437256,0.046472519636154175,0.0
21,Como cobrar pela análise estatística?,0_faculdade_fazer_emprego_trabalho,Baseie o preço no tempo gasto e complexidade; cobre por hora ou projeto.,"$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Recomendação,Associacional,0.1632653022240734,0.5974460244178772,0.7118420600891113,0.7118129745929961
22,Quando é a hora de pedir aumento?,0_faculdade_fazer_emprego_trabalho,Quando seu desempenho estiver acima da média e o mercado valorizar seu cargo.,"$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Recomendação,Associacional,0.16666666291666676,0.449858158826828,0.4621518552303314,0.20469046308479805
23,Dev só arranja emprego se tiver contatos?,0_faculdade_fazer_emprego_trabalho,"Contatos ajudam, mas projetos no GitHub e portfólio também atraem vagas.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Relação,Associacional,0.042553187904029274,0.3946361243724823,0.25670140981674194,0.08107317004754801
24,Como conseguir clientes para meus trabalhos?,0_faculdade_fazer_emprego_trabalho,"Use redes sociais, indicação e mostre resultados anteriores.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.045454542479339034,0.38224220275878906,0.28655722737312317,0.21453497293277132
25,Qual o cargo entre o Gerente de Tecnologia e o Analista Senior de Tecnologia? Considere uma empresa multinacional farmacêutica e não uma empresa cujo core seja tecnologia para pensar na organização da área de Tech,0_faculdade_fazer_emprego_trabalho,"O cargo de Gerente é acima do Analista Sênior, com foco em gestão e estratégia.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",False,,,0.07843136839677069,0.4208006262779236,0.2609262466430664,0.0037326883595964035
26,Como construir um portfolio pra ser aceito no mestrado?,0_faculdade_fazer_emprego_trabalho,"Mostre projetos, artigos e carta de motivação alinhada à linha de pesquisa.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.042553187904029274,0.4439603388309479,0.3001944124698639,0.11777941206718405
27,2 / 2me ajude a planejar um projeto com arduino para coleta de dados em uma solução em nuvem afim de fazer analise de dados,0_faculdade_fazer_emprego_trabalho,"Use Arduino com sensores, envie dados via Wi-Fi para um banco em nuvem (ex: Firebase).","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.039215682122261106,0.40051567554473877,0.106601282954216,0.18587259833487663
28,"PJ, CLT e concurso público: como ponderar os prós e os contras?",0_faculdade_fazer_emprego_trabalho,CLT dá estabilidade; PJ tem flexibilidade; concurso tem segurança e benefícios.,"$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Recomendação,Associacional,0.04347825746691899,0.354193776845932,0.16922566294670105,0.1629816007590996
29,Como posso iniciar trabalhando com suporte tecnico?,0_faculdade_fazer_emprego_trabalho,"Comece estudando hardware, redes e atendimento remoto; busque certificações.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.044444441244444674,0.40778234601020813,0.2033311426639557,0.001406362970344138
30,"Por que os discos rígidos da IBM em 1956 eram muito pesados e hoje temos cartões de memória com capacidade muito superior, mesmo sendo fisicamente pequenos?",0_faculdade_fazer_emprego_trabalho,A evolução tecnológica reduziu tamanho e aumentou densidade de armazenamento.,"$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Causa,Associacional,0.08695651833648407,0.4045560956001282,0.19103160500526428,0.0
31,Quais estratégias usam para compreender código legado?,0_faculdade_fazer_emprego_trabalho,"Leia o código, adicione logs e testes; converse com quem o mantém.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.08510637939339082,0.43920043110847473,0.17277953028678894,0.0
32,Aja como um especialista em marketing digital. Dê ideias de vídeos curtos sobre contabilidade.,0_faculdade_fazer_emprego_trabalho,"Fale de temas como impostos, dicas financeiras e curiosidades de contabilidade.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.04347825746691899,0.38749024271965027,0.3565688133239746,0.19916457036405294
33,Quero trabalhar em banco oq eu faço?,0_faculdade_fazer_emprego_trabalho,"Estude economia, matemática financeira e faça estágios em instituições financeiras.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.04347825746691899,0.40299955010414124,0.2663477957248688,0.017743748288219854
34,Como atuar em Saúde Pública ?,0_faculdade_fazer_emprego_trabalho,"Forme-se em saúde, estude políticas públicas e busque vagas em órgãos do SUS.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.0833333295833335,0.404684841632843,0.232811838388443,0.1422086389580145
35,Quais ações educativas seriam adequadas para centros municipais de educação infantil  ?,0_faculdade_fazer_emprego_trabalho,"Proponha atividades lúdicas, inclusão e formação cidadã.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Recomendação,Intervencional,0.04651162518117917,0.35481321811676025,0.14401069283485413,0.0
36,Pessoas que NAO trabalham em empregos home office pretende mudar de área só para conseguir trabalhar home?,0_faculdade_fazer_emprego_trabalho,"Sim, muitas pessoas mudam de área buscando flexibilidade e equilíbrio com o home office.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Relação,Associacional,0.07999999596800021,0.3969925343990326,0.15012183785438538,0.002931223128133519
37,voce consegui me apresentar um projeto de otimizaçao de processo em um estoque de peças de carro ?,0_faculdade_fazer_emprego_trabalho,"Projeto para organização e controle para estoque de peças automotivas: 1. Estruture os processos internos; 2. Acerte na gestão de armazém: A armazenagem correta dos produtos da sua empresa de autopeças é fundamental para manter a sua qualidade. Por isso, deve-se categorizar todos os materiais de acordo com suas principais características e encontrar as melhores formas de alocá-los. 3. Contrate mão de obra qualificada. 4. Trabalhe com a previsibilidade dos produtos. 5. Adote um controle rigoroso de entradas e saídas. 6. Modernize os processos com o uso da tecnologia.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.11538461085798835,0.45290258526802063,0.39835160970687866,0.15378265577368566
38,Posso reutilizar texto do pré-projeto no próprio TCC?,0_faculdade_fazer_emprego_trabalho,"Sim, você pode reutilizar o texto do pré-projeto no próprio TCC.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Relação,Intervencional,0.12765957088275248,0.42657017707824707,0.151402086019516,0.0017986207066948631
39,Em quais casos preciso devolver a bolsa PIBIC?,0_faculdade_fazer_emprego_trabalho,"Você deve devolver ao CNPq a bolsa PIBIC, em valores atualizados, quando não cumprir os requisitos e compromissos a seguir: 1 - Estar regularmente matriculado em curso de graduação.
2 - Ter vínculo empregatício e não se dedicar integralmente às atividades acadêmicas e de pesquisa.
3 - Não for selecionado e indicado pelo orientador. 
4 - Não apresentar no seminário anual sua produção científica, sob a forma de pôsteres, resumos e/ou painéis.
5 - Nas publicações e trabalhos apresentados, não fizer referência a sua condição de bolsista do CNPq.
6 - Estar recebendo outra modalidade de bolsa, sendo vedada a acumulação desta com bolsas de outros Programas do CNPq ou bolsas de outras instituições.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Causa,Associacional,0.06611569829929675,0.42189422249794006,0.2793348431587219,0.0
40,Como iniciar na área de análise de dados ?,0_faculdade_fazer_emprego_trabalho,"Para iniciar na área de análise de dados é ideal que você saiba ou esteja disposto a aprender a programar, seja curioso e tenha atenção a detalhes. Não é imprescindível, mas ajuda ter conhecimentos em estatística, matemática e física.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.11428570928979613,0.4365083575248718,0.4782885015010834,0.15658002142368455
41,Oi eu gostaria de saber como posso melhorar meu foco em realizar tarefas de trabalho,0_faculdade_fazer_emprego_trabalho,"Existem várias técnicas de manter o foco nas tarefas, inclusive o método pomodoro, em que você alterna períodos de foco e pausa. Independente de técnicas, ajuda silenciar as notificações do telefone celular e outras distrações, quando possível.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Intervencional,0.0882352891349484,0.41408491134643555,0.2077607810497284,0.0
42,O que significa educar e quais as estratégias para atrair os pais a escola,0_faculdade_fazer_emprego_trabalho,"Educar significa transmitir conhecimento técnico e relativo a comportamentos. Uma maneira de aproximar os pais da escola é criar Conselhos de Pais, onde serão discutidos assuntos pertinentes à escola e planejados os eventos. Os próprios eventos já aproximam os pais das escolas.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.08450703725451328,0.4161829948425293,0.18490302562713623,0.0
43,como eu faço para trabalhar com a inteligência artificial?,0_faculdade_fazer_emprego_trabalho,"No momento atual há fácil acesso à ferramentas de inteligência artificial, o que facilita bastante o trabalho de quem quer se inserir no mercado de trabalho em inteligência artificial. Assim como todo ramo de mercado,  especializar-se na área e adquirir experiência acelera o processo.","$
A cobrança pela análise estatística pode ser feita por hora, por projeto ou por um valor fixo mensal, dependendo da complexidade, do tempo estimado e do valor percebido. Considere seus custos, a experiência, o mercado e o público-alvo ao definir o preço.",True,Busca-Passos,Associacional,0.08219177582285639,0.4446852207183838,0.288707435131073,0.19465236629742305
