,index,Question,Nome_Tópico,llama_categoria,llama_justificativa,llama_resposta,qwen_categoria,qwen_justificativa,groudthruth
2,12,Não ter redes sociais pode ser um problema em processos seletivos para vagas de emprego/estágio?,0_faculdade_fazer_emprego_trabalho,grau 1,resposta clara,"sim, pois muitas empresas usam redes sociais para avaliar candidatos",grau 1,a resposta pode ser verificada com dados concretos,"Sim, muitas empresas pedem redes sociais como Linkedin para avaliar. "
11,65,O quanto saber alemão e francês ajuda na carreira acadêmica?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,pode ajudar em algumas areas mas nao e garantia de sucesso,grau 2,depende do contexto e area de atuacao,"Saber multíplicas linguas pode lhe ajudar no universo profissional para se comunicar com profissionais desses paises, se surgir uma oportunidade de bolsa de estudos na França ou na Alemanha."
12,72,As empresas ainda contratam Júnior?,0_faculdade_fazer_emprego_trabalho,grau 1,resposta clara,"sim, empresas contratam profissionais junior",grau 1,pergunta clara e verificavel,"Sim, as empresas contratam profissionais juniores."
19,122,Quanto tempo preciso pra elaborar um projeto de mestrado?,0_faculdade_fazer_emprego_trabalho,grau 2,depende do contexto,"o tempo varia dependendo do tema, metodologia e comprometimento do aluno",grau 2,depende do contexto e variaveis individuais,"A duração de um mestrado normalmente no Brasil é de 2 anos, mas isso vai depender da instituição e do curso. "
20,129,Tem alguma outra forma de conseguir bolsa de doutorado sem ser as ofertadas pelo programa de pós graduação?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"sim, existem outras formas como bolsas de agencias de fomento, empresas ou instituicoes internacionais",grau 2,depende de contexto especifico,"Sim, existem outras bolsas que são financias por empresas privadas ou pelo governo."
21,132,O que devo aprender para entrar no mercado de trabalho da programação?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"depende da area de programacao e das demandas do mercado, mas geralmente linguagens como python, java e habilidades em desenvolvimento web sao valorizadas",grau 2,depende de contexto especifico,"Normalmente se começa com linguagem de programação básicas como python, java e c++."
28,186,"Para estágio, vale a pena focar em C#?",0_faculdade_fazer_emprego_trabalho,grau 2,depende do contexto,"depende da area e demanda local, mas c# e relevante para desenvolvimento de software",grau 2,depende do contexto do mercado e demanda,Depende da descrição da oferta e o que está sendo pedido no seu estágio. C# é muito usado para a área de desenvolvimento de aplicativos.
30,189,As universidades públicas aceitam de boa mestrando que trabalha?,0_faculdade_fazer_emprego_trabalho,grau 2,depende da universidade,"sim, mas depende das regras de cada programa",grau 2,depende de politicas especificas,"Sim, normalmente bons profissionais são aceitos em faculdades públicas mas é bom ter uma boa relação com um professor e passar no concurso de admissão do mestrado."
31,190,É difícil conseguir emprego ou estágio no mestrado?,0_faculdade_fazer_emprego_trabalho,grau 2,depende do contexto,a dificuldade varia dependendo da area de estudo e da demanda do mercado de trabalho,grau 2,depende de variaveis como area de estudo e mercado,Depende da sua área de atuação.
46,287,"Para os devs que fizeram ou fazem graduação em TI, como conciliaram os estudos da faculdade e o estudo por fora?",0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,as estrategias variam muito de pessoa para pessoa,grau 3,pergunta opinativa e aberta,Organize seu tempo fazendo agenda das atividades que você tem que completar por dia e semanas. Priorize as atividades mais importantes.
55,356,Consigo trancar a faculdade e reativar ao achar um estágio?,0_faculdade_fazer_emprego_trabalho,grau 1,regra institucional,"sim, geralmente e possivel trancar a faculdade e reativar depois",grau 1,pergunta tem resposta clara e verificavel,"sim, geralmente você consegue reativar um trancamento mas depende da regra da instituição"
56,359,Doutorado no exterior faz diferença para carreira de professor?,0_faculdade_fazer_emprego_trabalho,grau 1,resposta objetiva possivel,pode fazer diferenca dependendo da instituicao e area de atuacao,grau 2,depende do contexto e mercado,"Sim, um doutorado no exterior pode ser uma boa forma de um professor se destacar no mercado academico e de aprofundar seus estudos."
67,420,É possível combinar Economia e Programação/Data Science sem trocar de curso?,0_faculdade_fazer_emprego_trabalho,grau 1,pergunta objetiva,"sim, pode ser feito atraves de disciplinas optativas ou cursos complementares",grau 2,depende de contexto especifico,"Sim, pode-se cursar duas graduações em paralelo dependendo das grades curriculares e horários."
72,449,O quão importante é o histórico das disciplinas do mestrado para o doutorado?,0_faculdade_fazer_emprego_trabalho,grau 2,depende do contexto,"o historico das disciplinas do mestrado pode ser importante para o doutorado, dependendo do programa e das exigencias da instituicao",grau 2,depende do contexto academico,"Depende da instituição de ensino, mas em geral o histórico do curso de mestrado é um documento necessário para ingressar no doutorado. Dependendo da concorrência as suas notas podem fazer você se destacar no processo de admissão. "
73,452,"Ao sair de uma empresa, é errado levar alguns códigos ou algoritmos consigo para base de conhecimento pessoal?",0_faculdade_fazer_emprego_trabalho,grau 2,depende do contexto,nao ha resposta objetiva unica pois depende de acordos contratuais e leis de propriedade intelectual,grau 3,pergunta envolve opinioes e contextos especificos,Se você assinou um termo de confidencialidade e propriedade intelectual sim. 
78,489,Experiências profissionais contam no mundo acadêmico?,0_faculdade_fazer_emprego_trabalho,grau 1,resposta clara,"sim, mas varia por instituicao e programa",grau 2,depende do contexto especifico,"Sim, experiencias profissionais também são uma oportunidade de crescimento."
89,585,É possível fazer uma faculdade EAD enquanto está na europa?,0_faculdade_fazer_emprego_trabalho,grau 1,resposta clara,"sim, e possivel fazer faculdade ead enquanto esta na europa desde que a instituicao ofereca essa modalidade e o aluno cumpra os requisitos",grau 1,pergunta tem resposta clara e verificavel,"Sim, dependo se voce conciliar a diferença de horario para as aulas e dependendo das regras da instituição."
118,747,Qual faculdade para seguir carreira como recrutadora? Principalmente se o foco for empresas de tecnologia e trabalho home office?,0_faculdade_fazer_emprego_trabalho,grau 2,necessidade de contexto,"cursos como recursos humanos, psicologia ou administracao podem ser relevantes. para empresas de tecnologia, conhecimento em informatica tambem e valioso.",grau 2,depende de contexto especifico,Para a carreira de recrutadora normalmente curso de recursos humanos e administração.
120,753,Quão importante é o currículo para seleção de mestrado?,0_faculdade_fazer_emprego_trabalho,grau 1,importancia do curriculo,o currículo é importante mas a relevancia varia entre programas,grau 2,depende de variaveis como instituicao e programa,"Em geral o currículo é bem importante para qualquer seleção, mas depende do curso e instituição."
123,762,Preciso de ajuda dos fotógrafos profissionais. Preciso de graduação ou não para atuar na área?,0_faculdade_fazer_emprego_trabalho,grau 1,resposta clara e objetiva,"nao necessariamente, mas pode ajudar em alguns casos",grau 2,depende do contexto e mercado,"Não necessariamente, mas um curso ou graduação pode lhe ajudar a se destacar no mercado."
